lens_name,slope_ld,slope_ld_err,z_lens,z_source,v_disp,r_ein_sie_kpc,r_eff_dev_kpc,M_tot_ld,sigma_tot_ld
SLACS0037-0942,2.14,0.07,0.1955,0.6322,282,4.95,7.098195813361769,11.342786818799556,9.640490867240903
SLACS0044+0113,2.31,0.24,0.1196,0.1965,267,1.72,5.629783329528833,11.108894496438516,9.60791113501318
SLACS0216-0813,2.09,0.2,0.3317,0.5235,334,5.53,12.73184706730629,11.743300661294702,9.533517834671022
SLACS0252+0039,1.57,0.12,0.2803,0.9818,170,4.4,5.903727833417831,10.997670844827384,9.455418188921438
SLACS0330-0020,1.91,0.18,0.3507,1.0709,220,5.45,5.935419696411764,11.113925645822812,9.567022778722203
SLACS0728+3835,1.86,0.1,0.2058,0.6877,219,4.21,6.005941383920084,11.137033003563603,9.579870824948662
SLACS0822+2652,2.12,0.14,0.2414,0.5941,263,4.45,6.9342463742710505,11.280376157482841,9.59837762126564
SLACS0912+0029,1.98,0.09,0.1642,0.3239,322,4.58,10.902492458079662,11.678575324393456,9.60352373455839
SLACS0936+0913,2.24,0.12,0.1897,0.588,246,3.45,6.677982947956443,11.160560859658577,9.511270248136782
SLACS0946+1006,2.01,0.18,0.2219,0.6085,265,4.95,8.40287603655371,11.393463561549362,9.544607648228887
SLACS0956+5100,2.3,0.09,0.2405,0.4699,338,5.05,8.32077321724806,11.511957455549211,9.671630084606903
SLACS0959+0410,2.05,0.15,0.126,0.535,203,2.24,3.1358796903350816,10.735356044249622,9.74263725945561
SLACS0959+4416,2.14,0.21,0.2369,0.5315,248,3.61,7.438617598758047,11.240148670157287,9.497164203639281
SLACS1016+3859,2.19,0.11,0.1679,0.4394,254,3.13,4.188629271879174,11.024574204154469,9.780430357293138
SLACS1020+1122,2.08,0.12,0.2822,0.553,290,5.12,6.785581837117697,11.372455364157807,9.709281178864677
SLACS1023+4230,2.01,0.11,0.1912,0.696,247,4.5,5.63699451831782,11.169296499576346,9.667201274592871
SLACS1029+0420,2.28,0.1,0.1045,0.6154,215,1.92,2.991104693291246,10.702942321607336,9.751279093055265
SLACS1106+5228,2.4,0.07,0.0955,0.4069,266,2.17,2.9743286039310175,10.857195183564603,9.910417288151487
SLACS1112+0826,2.21,0.1,0.273,0.6295,328,6.19,6.252259132003915,11.413790031851788,9.82171609275212
SLACS1134+6027,2.2,0.11,0.1528,0.4742,243,2.93,5.362951418564762,11.069589517053219,9.610781791389178
SLACS1142+1001,1.9,0.23,0.2218,0.5039,225,3.52,6.827224156612857,11.20763356972927,9.539145245384669
SLACS1143-0144,1.92,0.06,0.106,0.4019,263,3.27,9.319500476422405,11.455908299572028,9.517123029831279
SLACS1153+4612,2.28,0.13,0.1797,0.8751,233,3.18,3.5159599947649305,10.864603091219436,9.772515241323635
SLACS1204+0358,2.29,0.11,0.1644,0.6307,274,3.68,4.145385029450517,11.059504039529136,9.824374290190883
SLACS1205+4910,2.16,0.12,0.215,0.4808,282,4.27,9.039673681509056,11.425644911391132,9.513339404616918
SLACS1218+0830,1.82,0.11,0.135,0.7172,218,3.47,7.609063359431429,11.259983540850236,9.497321140020173
SLACS1250+0523,2.3,0.12,0.2318,0.7953,256,4.18,6.689714419047322,11.189881408745046,9.539066252097042
SLACS1306+0600,1.89,0.14,0.173,0.472,241,3.87,3.674399145531719,10.970520743496772,9.840148080664248
SLACS1313+4615,2.06,0.14,0.1438,0.3385,266,4.25,2.1704228721274226,10.957699706376745,10.284610991546417
SLACS1318-0313,1.64,0.15,0.24,1.3,211,6.01,9.521809092689436,11.36623480135848,9.40879586166303
SLACS1330-0148,2.25,0.1,0.0808,0.7115,194,1.32,1.3559947488735768,10.307235124564611,10.042719109130317
SLACS1402+6321,1.97,0.14,0.2046,0.4814,268,4.53,9.06875643654878,11.454985921849868,9.539890445805115
