lens_name,slope_lensing,le_slope_lensing,ue_slope_lensing,z_lens,z_source,v_disp,r_ein_pl_kpc,r_ein_sie_kpc,r_eff_dev_kpc,M_tot_lensing,sigma_tot_lensing
SLACS0008-0004,2.08115497414242,0.06971338854433906,0.07813441429030332,0.44,1.192,193,6.538829789974038,6.59531904521828,9.722409971830395,11.421788382873231,9.446240522210488
SLACS0029-0055,2.3188651156772475,0.13105675702221786,0.12915546249787013,0.227,0.931,229,3.3989730979454937,3.4924782233149836,7.858076002458714,11.09944477313965,9.308812323249208
SLACS0157-0056,2.232254822845695,0.08952381905928286,0.07933928663010859,0.513,0.924,295,5.645587924248974,4.888177559722726,6.5588205231722645,11.354525171017322,9.720873677123716
SLACS0216-0813,1.9878814045104194,0.05622457859512897,0.04530164786220703,0.332,0.523,333,5.6431567191958525,5.534763785673823,12.739499403231989,11.759671568940558,9.54936684334777
SLACS0252+0039,1.9167560572281046,0.10836415055774196,0.08289854375077943,0.28,0.982,164,4.344711515248968,4.413823388196804,5.899244720763036,11.05246052015072,9.510867695036525
SLACS0330-0020,2.149911204556319,0.020937213978029945,0.022383447853684846,0.351,1.071,212,5.386561601299946,5.44382038077114,5.938713142659425,11.171575795846516,9.624191099685085
SLACS0728+3835,1.989927193724793,0.09537881075446797,0.12153092286935396,0.206,0.688,214,4.2003866873792886,4.220843160218327,6.010480660150897,11.155244398150495,9.597425990017177
SLACS0737+3216,2.281791848214281,0.07434637035009883,0.0740118526360738,0.322,0.581,338,4.5624428244302875,4.674748454374712,13.182790641336688,11.558031522009905,9.31801681198776
SLACS0822+2652,2.1010214109515366,0.07320183464579344,0.08418301298854525,0.241,0.594,259,4.297692532277682,4.452228433279098,6.9256886739897086,11.261226603409272,9.580300673223576
SLACS0841+3824,2.271173514633548,0.16310981248933176,0.20246587031495755,0.116,0.657,225,2.0079865959845713,2.9619110194207785,8.843720136001048,11.03531161641562,9.142041635104656
SLACS0903+4116,2.2262292993589066,0.04742883144891241,0.05371208603380806,0.43,1.065,223,7.074799115207373,7.237032270079527,9.985982512202757,11.519593185657131,9.52081158332059
SLACS0912+0029,2.1446730632559112,0.05010911249920902,0.04836975635901064,0.164,0.324,326,3.9191569984148455,4.587426203583432,10.891619268630603,11.588016395646065,9.51383149248847
SLACS0936+0913,2.1257515609857167,0.07623955157573414,0.07666749445342003,0.19,0.588,243,3.425259420280219,3.4540908691079495,6.686359388823645,11.15571607800812,9.505336645972358
SLACS0946+1006,2.0627089989684704,0.032441719050742446,0.03388697971167742,0.222,0.609,263,5.038961648464937,4.936150522634339,8.40576357115268,11.40535159960591,9.556197258718601
SLACS0956+5100,2.053272449306749,0.0151168315914747,0.01536786971130022,0.241,0.47,334,4.998342808621218,5.061080184838633,8.333658349471133,11.48736778864792,9.645696404752137
SLACS0959+0410,2.0751894889925278,0.07144932408364735,0.07479196455376202,0.126,0.535,197,2.22222071271058,2.2334682686559217,3.1358796903350816,10.735537320223477,9.742818535429464
SLACS0959+4416,2.4976975420444107,0.232599984246725,0.19067269903812578,0.237,0.531,244,3.652267308284078,3.607742036976715,7.440967951264476,11.243503864779381,9.50024499676568
SLACS1016+3859,2.2345017120480684,0.1957998160420722,0.14862519743797975,0.168,0.439,247,2.883061382559282,3.1286449169176693,4.190661998807153,10.988645685695698,9.744080417940005
SLACS1020+1122,2.145225653404382,0.11817553889742927,0.11195459566018284,0.282,0.553,282,4.541100868330102,5.118625116832176,6.7821782798026335,11.32412117539118,9.661382772033768
SLACS1023+4230,1.9485249198715222,0.120495086959169,0.1554959215918188,0.191,0.696,242,4.488389362070527,4.486766259324345,5.632323602130562,11.155524523483871,9.654149325469215
SLACS1029+0420,1.430516672625543,0.05985729093532388,0.05282542960445835,0.104,0.615,210,1.8082375150568692,1.9283860806723663,2.9784973127216747,10.598085353552126,9.650090928345769
SLACS1032+5322,2.1140780283516336,0.025451290146174088,0.018769993786251327,0.133,0.329,296,2.433569859573728,2.4335246794783734,1.913742709104352,10.683649305177537,10.119882206871923
SLACS1142+1001,2.0349343975016256,0.10070031749738062,0.0968117622590734,0.222,0.504,221,3.246795626688475,3.505382255204096,6.8319184769794115,11.173373923084322,9.504288572245033
SLACS1143-0144,2.151379824365401,0.032489928254974654,0.031962725741146336,0.106,0.402,269,3.1273309478094333,3.2618251667478417,9.319500476422405,11.397973547789313,9.459188278048563
SLACS1153+4612,1.7155294032321216,0.09753036851890795,0.08298543434195604,0.18,0.875,226,3.12190939027262,3.1868161116883504,3.5206730376747486,10.713976803686803,9.62072541502162
SLACS1205+4910,1.9233068657924943,0.08861211970694405,0.0716811843770766,0.215,0.481,281,4.252086862216688,4.258070228355617,9.039673681509056,11.429659480032647,9.517353973258434
SLACS1213+6708,2.804193236068554,0.07287385561925364,0.07277276120588771,0.123,0.64,292,2.9221033547295407,3.137911312589294,7.137643337791141,11.115457569554415,9.408347883911986
SLACS1218+0830,2.3520639437170083,0.06291330939709594,0.06612517399104423,0.135,0.717,219,2.9128284378290985,3.469541468923136,7.609063359431429,11.135966911444102,9.37330451061404
SLACS1250+0523,1.83623251463841,0.041282700685990825,0.03648477398794148,0.232,0.795,252,4.231686928955337,4.179165606633788,6.694061723900139,11.149745229822232,9.498365804748047
SLACS1402+6321,2.0043438930279778,0.12596797193495957,0.1795122452109661,0.205,0.481,267,4.5379488487201245,4.541281152563557,9.082562305127114,11.45667659831583,9.540259826825167
SLACS1416+5136,1.9973609146027942,0.008081298880779464,0.0074188131315267025,0.299,0.811,240,5.535513401984281,6.08830966093852,6.354950959957724,11.238939234849108,9.632714827791926
SLACS1420+6019,1.9410607023461715,0.037546125650140816,0.0418729876286934,0.063,0.535,205,1.304224970762974,1.261418086096799,2.4985781320763514,10.592583079851835,9.797197210558325
SLACS1430+4105,2.0221119142099098,0.007940689817459212,0.008067999752015886,0.285,0.575,322,6.364414639383936,6.532241579125605,10.95869475445414,11.64693965592026,9.567421995560604
SLACS1432+6317,1.7882446783975205,0.040784531981073346,0.059158352814918214,0.123,0.664,199,2.836392801615877,2.784343840748247,12.927310689188287,11.502413361318256,9.279396988173671
SLACS1451-0239,2.290254836703657,0.11379196077985165,0.10281761453992733,0.125,0.52,223,2.151935718696799,2.330280280280131,5.55682220682185,10.93201905076111,9.442366047664144
SLACS1525+3327,1.917156850924303,0.05322444205981536,0.0574085224853178,0.358,0.717,264,6.4637210013438,6.566292435095649,14.536067222730825,11.726023021493669,9.401129176053654
SLACS1627-0053,2.081276360273253,0.08599413699042913,0.08288918912986487,0.208,0.524,290,4.139869857128589,4.184597033555844,6.73618059060209,11.26842070801429,9.611593264674022
SLACS1630+4520,1.9580709460145262,0.08115149897690488,0.0929001042356401,0.248,0.793,276,6.962266824799342,6.918839553695273,7.618497486091424,11.421374998377328,9.657636341220782
SLACS2238-0754,2.068863133932078,0.07329548478205461,0.09251773442617894,0.137,0.713,198,3.071505948714238,3.0769410501338568,5.645096572292824,11.0696078372044,9.566265085353772
SLACS2300+0022,2.550376000437717,0.15529120253970596,0.06698928321584008,0.228,0.463,279,4.44938935173113,4.526160572639607,6.679736974137485,11.403786483315276,9.754267759840134
SLACS2303+1422,2.093870047339355,0.03705557924855851,0.03570775462732634,0.155,0.517,255,4.372898770090186,4.352252211673209,8.811967440918595,11.432334618343441,9.542188850704074
SLACS2341+0000,2.1227050512183236,0.04716890096780446,0.06263029200606152,0.186,0.807,207,4.167912426535073,4.486653383101266,9.81455427553402,11.349696179729914,9.365955017618749
GALLERY0029+2544,2.0490683165461103,0.15186924041146677,0.12018935192160773,0.5869,2.4504,241,8.911561630146133,8.866484746909313,9.461994916477849,11.425750527335735,9.47378510656594
GALLERY0113+0250,1.7745322068541864,0.11171755678982098,0.14737092909185434,0.623,2.6088,850,9.037305127830091,8.433447448567224,19.04326843224857,11.720287493127978,9.160804514666511
GALLERY0201+3228,2.0877276555253577,0.09508668967965161,0.09196924491727643,0.3957,2.8209,256,9.144253879093956,9.073905749153166,13.877738204587196,11.613402071626945,9.328764690586551
GALLERY0237-0641,1.9093951703194334,0.10156258232834525,0.17599802804349918,0.4859,2.2491,290,3.7226957863476073,3.9071135860748343,6.311491177505501,10.864470593221915,9.264206634273203
GALLERY0742+3341,2.20904934682671,0.08148626732155817,0.0629120248617685,0.4936,2.3633,218,7.52381880893688,7.395944628096726,6.486607173822539,11.258539726930627,9.63450453085649
GALLERY0755+3445,1.7697991363352734,0.05269648503151725,0.08096689716367611,0.7224,2.6347,272,14.995910893550496,14.831497400197588,1.9534167307577315,10.680824443912,10.09923463776423
GALLERY0856+2010,2.2279376708696885,0.08980491645548394,0.07755269655321362,0.5074,2.2335,334,5.849578525676667,6.0289244592696045,7.074758294040862,11.165792839871546,9.466369625926221
GALLERY0918+5105,2.3801277225571114,0.17997488835485242,0.15862049776036047,0.5811,2.403,298,10.836318435825733,10.537092252939471,13.698219928821311,11.736049432368704,9.462721163065865
GALLERY1110+2808,2.0298813950747694,0.0679071310750452,0.08642883761043318,0.733,2.3999,191,6.577914248408722,7.12983843109788,2.910138135141992,10.806336414413536,9.878509206265708
GALLERY1110+3649,2.232252654110382,0.08073944178336934,0.06646499037424558,0.5869,2.5024,531,7.618039772825891,7.675464407772241,5.822766102447908,11.227589804385989,9.69733111424598
GALLERY1116+0915,2.2249855523613236,0.17221878098817056,0.16384132807758345,0.5501,2.4536,274,5.197496929857945,6.604560993681325,6.09158538252161,11.038827293694691,9.469366621967087
GALLERY1141+2216,2.1274588775414607,0.11291802819963204,0.08888508581790822,0.5858,2.7624,285,8.481195450982568,8.395860919621839,4.164875889261228,11.09752202254048,9.85831789408588
GALLERY1201+4743,2.743442574879635,0.21374647774008748,0.04587144076830851,0.498,2.1258,239,7.134900672727157,7.187572562419842,11.146828634939247,11.486154490876237,9.391851841714145
GALLERY1226+5457,2.238275024920028,0.10046150556306266,0.07391475748053988,0.5869,2.7322,248,9.250748875119967,9.064988136765493,7.410793221297337,11.403684302246274,9.66395491106624
GALLERY2228+1205,2.1992100111677764,0.09928268155758779,0.13916592461732336,0.5305,2.8324,255,7.621067924123328,8.058773220391538,5.162651594313329,11.160254587353506,9.734508952704628
GALLERY2342-0120,2.344917240572588,0.08510704435044714,0.0715003604716995,0.527,2.2649,274,6.845033178104742,6.964799519789011,8.282464293803148,11.32538204698309,9.489062902405777
